userid,rating,itemtype,age,gender,occupation,zipcode,timestamp
1,5,Layout,24,M,technician,85711,875072688
1,1,Layout,24,M,technician,85711,889751736
1,3,Layout,24,M,technician,85711,875073198
1,2,Layout,24,M,technician,85711,875071713
1,4,Adventure,24,M,technician,85711,878542420
1,3,Adventure,24,M,technician,85711,876893230
1,5,Adventure,24,M,technician,85711,878543541
1,1,Adventure,24,M,technician,85711,878543176
1,4,Button,24,M,technician,85711,875072262
1,3,Button,24,M,technician,85711,875072573
1,2,Button,24,M,technician,85711,878543238
1,1,Button,24,M,technician,85711,875241619
1,5,Button,24,M,technician,85711,878543541
1,4,Search,24,M,technician,85711,874965954
1,5,Search,24,M,technician,85711,878541637
1,3,Search,24,M,technician,85711,876893230
1,4,Contact,24,M,technician,85711,876892918
1,5,Contact,24,M,technician,85711,878543541
1,2,Contact,24,M,technician,85711,875240677
1,1,Contact,24,M,technician,85711,878543006
1,3,Contact,24,M,technician,85711,875071713
1,4,Question,24,M,technician,85711,875072956
1,5,Question,24,M,technician,85711,875072484
1,3,Question,24,M,technician,85711,875072895
1,1,Question,24,M,technician,85711,875071713
1,4,Color,24,M,technician,85711,875072547
1,3,Color,24,M,technician,85711,875241498
1,2,Color,24,M,technician,85711,885345822
1,1,Color,24,M,technician,85711,875072484
1,5,Color,24,M,technician,85711,878542717
1,4,Header,24,M,technician,85711,874965678
1,2,Header,24,M,technician,85711,878542791
1,1,Header,24,M,technician,85711,875693007
1,5,Header,24,M,technician,85711,889751711
1,3,Header,24,M,technician,85711,876892425
1,4,Report,24,M,technician,85711,875071843
1,5,Report,24,M,technician,85711,875072547
1,3,Report,24,M,technician,85711,878543196
1,2,Report,24,M,technician,85711,876892896
1,4,Home,24,M,technician,85711,878542960
1,3,Home,24,M,technician,85711,876893206
1,2,Home,24,M,technician,85711,876892818
1,1,Home,24,M,technician,85711,876893031
1,5,Home,24,M,technician,85711,875073198
1,4,Content,24,M,technician,85711,887432020
1,2,Content,24,M,technician,85711,878543030
1,5,Content,24,M,technician,85711,874965905
1,3,Content,24,M,technician,85711,888732928
1,4,Link,24,M,technician,85711,875073128
1,3,Link,24,M,technician,85711,876893206
1,2,Link,24,M,technician,85711,878542869
1,5,Link,24,M,technician,85711,875071484
1,1,Link,24,M,technician,85711,875241390
1,4,Space,24,M,technician,85711,875241390
1,5,Space,24,M,technician,85711,878543541
1,2,Space,24,M,technician,85711,875072262
1,3,Space,24,M,technician,85711,875241390
1,5,unknown,24,M,technician,85711,875071515
1,4,unknown,24,M,technician,85711,888732908
1,3,unknown,24,M,technician,85711,878543075
1,1,unknown,24,M,technician,85711,885345728
1,2,Animation,24,M,technician,85711,878543196
1,5,Animation,24,M,technician,85711,887431973
1,4,Animation,24,M,technician,85711,876892355
1,1,Animation,24,M,technician,85711,875241637
1,3,Animation,24,M,technician,85711,876893145
1,4,Form,24,M,technician,85711,878542420
1,3,Form,24,M,technician,85711,876893098
1,5,Form,24,M,technician,85711,875072520
1,1,Form,24,M,technician,85711,878542869
1,2,Form,24,M,technician,85711,875240739
1,3,Photo,24,M,technician,85711,876893171
