userid,itemindex,rating,timestamp
1,17,5,875072688
1,2,4,878542420
1,9,4,875072262
1,1,4,874965954
1,5,4,876892918
1,13,4,875072956
1,8,4,875072547
1,16,4,874965678
1,16,2,878542791
1,13,5,875072484
1,8,3,875241498
1,4,4,875071843
1,3,4,878542960
1,18,4,887432020
1,15,4,875073128
1,11,4,875241390
1,0,5,875071515
1,0,4,888732908
1,4,5,875072547
1,2,3,876893230
1,6,2,878543196
1,10,4,878542420
1,18,2,878543030
1,12,3,876893171
1,15,3,876893206
1,5,5,878543541
1,11,5,878543541
1,7,3,875072370
1,7,5,878543541
1,2,5,878543541
1,12,5,875072262
1,10,3,876893098
1,15,2,878542869
1,3,3,876893206
1,10,5,875072520
1,4,3,878543196
1,9,3,875072573
1,6,5,887431973
1,7,2,889751736
1,7,4,875071823
1,0,3,878543075
1,6,4,876892355
1,14,4,878542300
1,8,2,885345822
1,12,1,875692979
1,11,2,875072262
1,10,1,878542869
1,3,2,876892818
1,5,2,875240677
1,12,2,875073067
1,12,4,875241619
1,15,5,875071484
1,4,2,876892896
1,13,3,875072895
1,18,5,874965905
1,1,5,878541637
1,2,1,878543176
1,8,1,875072484
1,7,1,878543133
1,3,1,876893031
1,17,1,889751736
1,6,1,875241637
1,17,3,875073198
1,6,3,876893145
1,9,2,878543238
1,17,2,875071713
1,14,3,875240993
1,5,1,878543006
1,16,1,875693007
1,9,1,875241619
1,16,5,889751711
1,13,1,875071713
1,0,1,885345728
1,14,5,875072688
1,3,5,875073198
1,8,5,878542717
1,18,3,888732928
1,14,1,875692992
1,15,1,875241390
1,16,3,876892425
1,1,3,876893230
1,10,2,875240739
1,9,5,878543541
1,5,3,875071713
1,11,3,875241390
2,18,4,888550774
2,11,4,888551174
2,1,3,888550065
2,9,1,888551648
2,4,3,888979353
2,14,5,888552084
2,12,5,888979693
2,15,3,888980240
2,6,4,888551648
2,10,2,888551853
2,10,4,888551062
2,16,4,888551922
2,14,4,888551853
2,3,4,888550774
2,11,1,888550774
2,13,4,888551922
2,12,3,888551647
2,7,4,888551647
2,8,3,888550631
2,10,1,888980085
2,2,3,888551235
2,3,3,888550252
2,7,5,888552084
2,11,3,888550871
2,5,1,888980029
2,2,4,888550774
2,14,3,888551441
2,5,3,888551441
2,17,5,888552084
2,13,3,888551441
2,9,5,888550939
2,0,3,888550871
2,1,4,888550871
2,5,5,888552084
2,12,4,888550871
2,6,3,888551647
2,0,4,888979197
2,4,5,888552084
2,15,4,888979197
2,8,4,888550939
2,6,5,888979061
2,13,5,888552084
2,0,5,888552084
2,9,4,888552017
3,6,2,889237055
3,15,2,889236939
3,6,4,889237455
3,13,4,889237455
3,4,4,889237455
3,0,2,889237269
3,11,2,889237026
3,10,4,889237482
3,2,4,889236939
3,18,1,889237055
3,14,1,889236983
3,14,4,889237482
3,0,4,889237174
3,9,2,889237224
3,13,2,889237482
3,1,2,889237247
3,17,2,889236939
3,3,2,889237224
3,3,3,889237224
3,7,2,889237297
3,5,5,889237455
3,8,4,889237455
3,9,1,889237224
3,10,2,889236939
3,1,3,889237122
3,8,3,889237076
3,14,3,889237199
3,16,3,889237141
3,9,3,889237315
3,13,3,889237247
3,12,3,889237004
3,17,5,889237455
3,4,5,889237455
3,7,3,889237269
3,16,5,889237482
3,5,3,889237224
3,13,1,889237198
3,17,1,889237247
3,11,3,889237122
3,2,3,889236961
3,18,3,889237269
3,11,1,889237122
3,2,1,889237297
3,12,1,889237269
4,11,4,892004520
4,12,5,892002353
4,17,3,892004275
4,5,3,892001537
4,5,4,892001690
4,17,5,892002352
4,9,5,892004409
4,1,3,892003374
4,16,2,892004275
4,0,5,892002353
4,3,4,892001445
4,1,5,892002353
4,15,4,892003525
4,11,5,892001374
4,18,5,892002352
4,4,5,892002352
4,14,3,892003459
4,15,5,892001445
4,13,4,892004275
4,6,5,892002352
4,16,5,892002353
5,18,2,875636167
5,2,4,875637536
5,3,1,875721019
5,12,1,878844208
5,14,5,875635350
5,4,3,875636152
5,3,5,875636130
5,6,3,875636281
5,15,3,875636691
5,2,1,878844423
5,18,3,875720814
5,12,3,875635907
5,0,3,875721216
5,17,3,875635962
5,1,1,878844423
5,1,3,875636815
5,9,4,875720845
5,1,5,875636375
5,10,3,875720744
5,5,5,875635349
5,12,4,875636014
5,16,5,875637033
5,13,4,875636389
5,13,2,875636265
5,7,2,875637440
5,17,5,878844495
5,16,2,875635723
5,0,4,875721168
5,4,4,878845197
5,6,4,875720744
5,12,2,875636099
5,10,4,875637023
5,0,1,878844423
5,8,1,875635372
5,9,1,875720814
5,6,1,878844629
5,18,5,875720717
5,6,5,878844510
5,8,2,879198898
5,13,5,875636033
5,1,2,875635947
5,3,2,875635947
5,15,5,875636655
5,4,2,875636511
5,12,5,875636631
5,11,2,875720692
5,17,2,875635907
5,5,2,875721216
5,6,2,875720692
5,16,1,875636842
5,13,1,875720948
5,5,3,875637145
5,2,5,875636587
5,9,5,878844495
5,17,4,875636198
5,14,4,875636675
5,18,4,875636675
5,11,1,879198183
5,1,4,875635064
5,4,5,875636360
5,11,5,879197864
5,11,4,875636167
5,14,2,879198031
5,7,1,875635807
5,15,1,878844397
5,5,1,879198898
5,0,5,875636070
5,17,1,875721167
5,16,3,875636691
5,10,5,875636340
5,8,3,878844510
5,13,3,875635416
5,3,3,875635895
5,11,3,875636141
5,14,3,875637587
5,9,3,875721167
5,7,3,875637419
5,2,3,875635225
5,7,4,875635384
5,15,2,879198898
5,4,1,875720830
5,5,4,875729064
5,10,1,875720967
5,14,1,875636571
5,10,2,878844651
6,17,4,883601203
6,9,4,883599075
6,5,4,883602283
6,14,4,883601713
6,4,4,883602462
6,18,4,883601277
6,1,4,883603013
6,3,4,883268222
6,12,4,883602174
6,0,4,883268322
6,7,4,883601713
6,3,3,883600747
6,13,3,883602174
6,11,3,883600632
6,8,4,883601277
6,11,4,883602174
6,7,5,883601500
6,17,3,883602462
6,10,3,883603013
6,13,4,883600842
6,10,2,883599478
6,0,3,883599431
6,15,4,883602730
6,3,2,883600030
6,4,5,883601053
6,7,2,883681433
6,16,4,883600785
6,5,5,883599176
6,18,5,883602422
6,18,3,883268321
6,13,5,883601426
6,2,5,883601155
6,1,5,883600657
6,10,5,883599228
6,1,2,883268170
6,6,4,883717304
6,2,4,883268246
6,12,1,883268375
6,0,2,883602133
6,3,5,883600680
6,15,5,883601365
6,14,3,883601277
6,9,3,883602133
6,7,3,883602865
6,6,2,883602690
6,9,5,883601500
6,6,5,883601365
6,8,3,883599327
6,1,3,883598981
6,6,1,883600066
6,16,1,883600003
6,9,1,883683508
6,2,1,883599509
6,17,5,883601089
6,14,5,883601011
6,12,5,883601203
6,10,4,883602422
6,8,5,883601500
6,0,5,883599478
6,15,3,883599302
6,15,2,883599558
6,13,2,883599400
6,9,2,883603013
6,5,2,883268430
6,18,2,883599590
6,12,3,883602174
6,4,3,883600445
6,11,2,883268278
6,2,3,883602730
6,4,2,883600004
6,8,2,883601365
6,5,3,883602501
6,17,2,883268278
6,16,2,883599478
6,1,1,883600175
7,7,4,891351161
7,4,4,892134811
7,12,3,891354499
7,9,4,892133361
7,8,3,891351685
7,15,4,892133180
7,14,3,891353477
7,16,4,891354288
7,18,3,891353977
7,1,3,891352384
7,3,4,891352261
7,12,1,891354530
7,6,4,891352831
7,10,3,892132627
7,4,3,891350965
7,18,4,891352489
7,9,3,892132798
7,12,4,891353892
7,14,4,891350757
7,17,4,891350703
7,0,4,892131824
7,1,1,892135078
7,13,1,891352557
7,11,4,891353444
7,0,1,892131978
7,10,1,891353860
7,3,1,892131978
7,10,4,892131849
7,13,4,891352058
7,16,1,892132019
7,7,2,892133310
7,4,2,891354257
7,12,2,892131978
7,16,2,891354438
7,11,2,891351471
7,17,5,891352778
7,5,5,891351509
7,4,5,891352557
7,13,2,891354882
7,16,5,891351509
7,10,5,892133036
7,0,5,891352451
7,17,2,891350383
7,1,4,892132192
7,15,3,891354217
7,18,5,891352220
7,3,5,891350757
7,12,5,891353676
7,15,5,892135347
7,6,2,891353801
7,5,4,891352093
7,9,1,892130809
7,7,1,892131925
7,2,3,891354165
7,7,3,892133670
7,5,3,891354114
7,13,3,891353614
7,0,3,891351287
7,16,3,892133739
7,11,3,892132943
7,3,3,891349991
7,6,3,891353290
7,8,4,891351002
7,2,4,891354257
7,17,3,892131824
7,8,5,891352303
7,11,5,891353477
7,1,5,891352220
7,6,5,891351728
7,13,5,892132773
7,2,5,891353219
7,7,5,891351287
7,4,1,892132020
7,14,5,891352010
7,9,5,891354588
7,9,2,891354662
7,1,2,891351121
